Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Noah Cardenas","MIN","A+",23,90,309,378,84,57,23,1,3,44,38,55,0,77,11,3,0,6,9,5,0.27184466,"sa3017624"
"Edwin Arroyo","CIN","A+,AA",19,123,492,554,124,72,28,11,13,74,60,49,1,118,6,5,1,0,29,7,0.25203252,"sa3017626"
"Harry Ford","SEA","A+",20,118,444,563,114,71,24,4,15,89,67,103,1,109,14,2,0,9,24,8,0.256756756,"sa3017627"
"Lonnie White Jr.","PIT","A,CPX",20,61,225,276,62,36,16,1,9,49,40,43,1,75,7,1,0,4,18,3,0.275555555,"sa3017628"
"Kay-Lan Nicasia","MIL","A",21,90,287,342,62,39,13,4,6,53,37,47,0,105,3,5,0,6,27,7,0.216027874,"sa3017629"
"Anthony Vilar","SDP","A,A+",24,73,228,288,50,31,11,1,7,36,28,54,0,86,3,2,1,3,2,3,0.219298245,"sa3017660"
"Logan Cerny","HOU","A+",23,84,321,360,71,47,10,1,13,50,42,31,0,128,5,3,0,5,20,4,0.2211838,"sa3017661"
"Javier Bolivar","STL","A,CPX",20,33,67,85,7,5,1,0,1,8,5,12,0,38,4,1,1,0,2,1,0.104477611,"sa3017663"
"Kenny Piper","TBR","A+,AA",24,93,309,365,73,34,17,2,20,56,46,37,0,93,17,2,0,5,3,1,0.236245954,"sa3017664"
"Aaron Zavala","TEX","AA",23,95,341,426,66,45,16,0,5,47,40,72,0,159,8,5,0,4,7,3,0.193548387,"sa3017665"
"Jason Ollarve","MIL","CPX",19,7,18,19,7,6,1,0,0,3,1,0,0,3,0,1,0,0,0,0,0.388888888,"sa3017666"
"Donovan McIntyre","SFG","CPX",20,43,106,131,19,15,3,1,0,20,12,23,0,43,0,1,1,2,3,1,0.179245283,"sa3017667"
"Gavin Tonkel","PHI","CPX",20,15,43,49,14,9,3,0,2,14,8,1,0,16,5,0,0,0,1,0,0.325581395,"sa3017668"
"Brady House","WSN","A,A+,AA",20,88,340,374,106,70,21,3,12,52,47,26,0,89,4,3,0,10,9,2,0.311764705,"sa3017694"
"Moises Gallardo","OAK","CPX",20,31,93,109,26,15,8,1,2,13,24,14,0,34,1,1,0,1,3,0,0.279569892,"sa3017695"
"Mario Gomez","OAK","A,CPX",20,46,134,168,36,20,11,0,5,23,35,28,0,38,2,3,0,1,4,1,0.268656716,"sa3017696"
"T.J. White","WSN","A+",19,77,247,286,42,29,5,2,6,23,25,35,0,104,2,1,0,5,0,2,0.170040485,"sa3017697"
"Daylen Lile","WSN","A,A+",20,106,405,465,109,63,27,10,9,65,66,52,0,99,4,4,0,6,23,6,0.269135802,"sa3017698"
"Dayker Baldallo","OAK","DSL",19,40,107,132,17,13,4,0,0,13,11,21,0,30,3,1,0,4,2,2,0.158878504,"sa3017699"
"Ray Garrett","OAK","CPX",19,15,29,37,4,3,0,0,1,5,2,8,0,15,0,0,0,2,2,1,0.137931034,"sa3017701"
"Nicolas Deschamps","TOR","A",20,57,165,212,28,21,4,0,3,22,17,37,0,65,7,2,1,0,3,0,0.169696969,"sa3017732"
"Jake Fox","CLE","A+",20,101,402,453,103,67,23,5,8,61,53,45,0,103,1,4,0,3,9,5,0.256218905,"sa3017734"
"Connor Kokx","CLE","AA",23,104,325,390,74,53,18,0,3,52,22,47,0,88,14,3,1,9,29,5,0.227692307,"sa3017735"
"Tyler Ahearn","COL","A+",24,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sa3017747"
"Jake Rucker","MIN","AA",23,119,420,476,104,70,21,4,9,51,63,42,0,123,7,5,2,7,10,11,0.247619047,"sa3017757"
"Gavin Conticello","ARI","A,A+",20,110,408,466,90,47,23,3,17,54,58,46,0,106,9,3,0,5,12,5,0.220588235,"sa3017770"
"Jhon Imbert","NYY","DSL",19,34,108,142,30,17,7,1,5,28,22,30,0,40,2,2,0,0,17,1,0.277777777,"sa3017771"
"Dennis Boatman","CIN","A+",23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sa3017778"
"Ben Harris","LAD","AA",23,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sa3017779"
"Ryan Sublette","LAD","AA",24,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sa3017781"
"Mason Auer","TBR","AA",22,124,454,511,93,57,18,7,11,59,51,49,1,184,7,1,0,1,47,11,0.204845814,"sa3017791"
"Ryan Spikes","TBR","A",20,120,441,501,95,64,15,6,10,62,51,51,0,154,5,3,0,10,28,8,0.215419501,"sa3017792"
"Cooper Kinney","TBR","A",20,121,456,505,125,91,24,0,10,61,61,42,1,107,5,2,0,7,3,5,0.274122807,"sa3017793"
"Carson Williams","TBR","A+,AA,AAA",20,115,435,503,112,61,21,7,23,76,81,59,0,158,8,1,0,8,20,10,0.257471264,"sa3017795"
"Colby Smelley","CHW","A,A+",23,47,160,190,44,39,4,0,1,15,24,21,0,38,5,4,0,8,0,0,0.275,"sa3017797"
"Brayan Oropeza","MIL","DSL",19,22,54,59,15,12,3,0,0,7,6,3,0,10,2,0,0,1,0,0,0.277777777,"sa3017827"
"Tristan Peters","TBR","AA",23,93,363,415,100,66,22,5,7,65,46,42,0,66,8,2,0,7,14,5,0.275482093,"sa3017851"
"Bob Seymour","TBR","A+,AA,CPX",24,79,294,340,92,61,13,1,17,57,55,39,0,92,5,2,0,4,1,1,0.31292517,"sa3017852"
"A.J. Graham","PIT","CPX",20,4,5,7,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0.2,"sa3017854"
"Hao-Yu  Lee","PHI","A+,CPX",20,75,286,329,78,56,14,2,6,40,32,33,0,65,8,2,0,4,16,5,0.272727272,"sa3017863"
"Christian Olivo","CHC","A,CPX",19,35,93,115,24,16,7,0,1,22,14,17,0,24,3,1,1,3,7,3,0.258064516,"sa3017877"
"Mikey Perez","MIN","A,A+",23,67,190,230,38,25,6,0,7,37,23,29,0,60,9,1,1,6,25,7,0.2,"sa3017901"
"Ernie Yake","MIN","A+,AA,AAA",25,60,165,191,37,22,8,2,5,30,16,24,0,29,2,0,0,3,5,2,0.224242424,"sa3017902"
"Dillon Tatum","MIN","A",23,53,133,173,23,14,7,1,1,19,15,33,0,59,6,1,0,2,1,0,0.17293233,"sa3017903"
"Quinton Low","MIL","A",20,22,29,34,6,4,1,0,1,4,3,5,0,11,0,0,0,0,0,0,0.206896551,"sa3017921"
"Parker Chavers","CHC","A,A+",24,84,296,338,74,52,9,2,11,52,55,34,0,85,5,1,1,1,23,5,0.25,"sa3017939"
"Jose Aular","NYM","DSL",19,26,77,90,18,11,6,0,1,11,7,10,0,15,3,0,0,3,0,0,0.233766233,"sa3017954"
"Carlos Herrera","NYY","DSL",20,18,43,51,10,6,4,0,0,6,8,7,0,15,1,0,0,4,0,0,0.232558139,"sa3017969"
"Luis Reyes","CIN","CPX",19,40,130,159,41,20,17,0,4,24,36,22,0,31,5,2,0,6,2,0,0.315384615,"sa3017980"
"Anthony Scull","LAA","CPX",19,48,170,192,51,36,7,5,3,31,30,12,0,41,9,0,0,2,10,1,0.3,"sa3017988"
"Tommy Gomez","NYM","CPX",19,3,2,3,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.5,"sa3017994"
"Zac Fascia","CLE","A,A+",24,68,237,272,59,41,8,7,3,20,26,25,0,66,9,1,0,2,1,0,0.248945147,"sa3018001"
"Jarrett Gonzales","WSN","AA",25,4,9,10,2,1,1,0,0,2,0,0,0,3,1,0,0,0,0,0,0.222222222,"sa3018008"
"Seth Caddell","CLE","AA",24,2,3,3,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.333333333,"sa3018009"
"Oscar Colina","MIA","DSL",19,22,49,67,19,15,3,1,0,16,11,11,0,10,7,0,0,1,5,3,0.387755102,"sa3018010"
"German Ortiz","OAK","CPX",18,46,143,180,31,25,6,0,0,20,14,31,0,39,1,1,2,3,3,0,0.216783216,"sa3018011"
"Brady Allen","DET","A+,AA",23,127,459,538,116,62,32,3,19,75,68,66,1,135,8,5,0,12,5,1,0.252723311,"sa3018098"
"Cesar Prieto","BAL","AA,AAA",24,123,498,540,161,123,25,3,10,73,69,30,1,52,7,4,1,16,9,7,0.323293172,"sa3018100"
"Karl Ellison","TOR","A+,AA,AAA",28,26,79,88,17,13,4,0,0,5,6,7,0,25,1,1,0,3,0,0,0.215189873,"sa3018120"
"Dylan Neuse","MIN","A",24,79,255,310,65,45,13,4,3,34,33,45,0,57,3,6,1,4,12,5,0.25490196,"sa3018123"
"Jason Matthews","CHW","A+,AA,AAA",26,48,139,169,25,19,2,0,4,25,19,20,0,59,8,2,0,1,6,2,0.179856115,"sa3018152"
"Roby Enriquez","ARI","AA",26,48,155,184,40,28,12,0,0,19,16,24,1,32,3,2,0,2,5,1,0.258064516,"sa3018209"
"Kyle Hayes","KCR","A+,AA",25,7,14,22,4,2,1,1,0,6,2,5,0,3,1,1,1,1,0,0,0.285714285,"sa3018212"
"Alsander Womack","CHW","A+,AA",24,113,437,508,115,91,14,1,9,49,57,60,0,80,8,3,0,14,8,4,0.263157894,"sa3018214"
"Roque Salinas","TOR","A",20,104,382,417,99,80,15,3,1,54,49,21,0,52,11,3,0,10,5,1,0.259162303,"sa3018215"
"Wyatt Hoffman","SDP","A,CPX",24,66,189,233,31,26,5,0,0,24,24,29,0,64,8,2,5,2,21,0,0.164021164,"sa3018219"
"Max Hewitt","LAD","A+",25,35,104,127,22,15,7,0,0,13,10,19,0,40,1,3,0,2,1,1,0.211538461,"sa3018243"
"Christian Sepulveda","LAA","A,A+",25,53,192,219,46,30,7,3,6,29,31,12,0,48,13,2,0,7,14,3,0.239583333,"sa3018244"
"Gaige Howard","LAD","A",25,3,9,11,1,1,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0.111111111,"sa3018245"
"Jesael Cabrera","MIL","DSL",19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sa3018300"
"Ben Norman","CHW","A+,AA",25,64,186,222,40,25,6,0,9,34,32,29,0,72,3,4,0,0,12,2,0.215053763,"sa3018376"
"Jarrod Watkins","ARI","A+,AA",26,15,48,52,6,3,1,2,0,4,6,2,0,13,2,0,0,3,1,1,0.125,"sa3018377"
"Luis Moreno","ATL","A,CPX",20,14,31,41,6,5,1,0,0,6,5,7,0,15,2,0,0,1,2,0,0.193548387,"sa3018379"
"Joseph Rodriguez","OAK","CPX",20,39,121,157,34,22,8,3,1,33,17,29,0,47,6,1,0,4,7,1,0.280991735,"sa3018381"
"Elis Barreat","TBR","AA,CPX",20,15,37,42,8,8,0,0,0,4,2,4,0,8,0,1,0,1,0,1,0.216216216,"sa3018383"
"Jose Ochoa","DET","DSL",19,21,64,72,21,19,2,0,0,14,4,8,0,19,0,0,0,1,3,1,0.328125,"sa3018385"
"Clayton Campbell","DET","A,CPX",19,45,146,185,38,15,18,1,4,32,28,30,1,46,6,3,0,2,5,0,0.260273972,"sa3018386"
"Dyan Jorge","COL","A,CPX",20,70,271,309,83,61,16,3,3,60,40,32,0,47,0,4,2,9,19,2,0.306273062,"sa3018387"
"Daniel Guilarte","MIL","A,CPX",19,63,243,287,69,61,6,2,0,44,33,36,0,68,6,2,0,5,31,8,0.283950617,"sa3018388"
"Willy Fanas","NYM","CPX",19,39,137,152,34,19,9,3,3,20,25,14,0,43,0,1,0,1,4,1,0.248175182,"sa3018389"
"Maikol Munoz","SDP","CPX",19,7,18,21,1,1,0,0,0,2,2,2,0,4,1,0,0,1,0,0,0.055555555,"sa3018390"
"Diego Benitez","ATL","CPX",18,46,176,196,46,30,11,3,2,22,19,17,0,44,2,1,0,5,3,3,0.261363636,"sa3018391"
"Jair Casanova","ATL","A",19,67,226,261,45,31,6,1,7,28,35,30,0,77,5,0,0,10,4,0,0.199115044,"sa3018392"
"Rosman Verdugo","SDP","A",18,113,410,472,90,53,31,3,3,44,53,46,1,124,8,3,5,6,15,8,0.219512195,"sa3018393"
"Yimmy Diaz","DET","CPX",19,35,110,139,21,18,2,0,1,23,11,24,0,27,4,1,0,3,7,1,0.19090909,"sa3018394"
"Jonatan Guzman","MIL","CPX",19,24,60,63,14,11,2,0,1,12,9,1,0,12,1,1,0,1,3,0,0.233333333,"sa3018395"
"Dervin Andrade","PHI","DSL",19,32,70,78,14,13,1,0,0,15,1,6,0,13,2,0,0,0,2,0,0.2,"sa3018396"
"Keiner Delgado","NYY","CPX",19,49,198,239,58,37,12,1,8,54,31,36,0,31,5,0,0,2,36,7,0.292929292,"sa3018397"
"Jace Avina","MIL","A",20,99,326,399,76,38,22,2,14,57,50,56,0,118,17,0,0,7,10,3,0.233128834,"sa3018398"
"Jaison Chourio","CLE","A,CPX",18,48,184,231,59,44,13,1,1,47,28,44,0,52,0,3,0,3,20,2,0.320652173,"sa3018399"
"Guillermo Williamson","SFG","CPX",19,56,186,229,53,29,15,0,9,37,51,38,0,67,4,1,0,4,1,0,0.284946236,"sa3018401"
"Irving Igualas","MIL","DSL",19,23,59,66,10,7,3,0,0,8,3,6,0,22,1,0,0,0,0,0,0.169491525,"sa3018402"
"Cristhian Vaquero","WSN","A,CPX",18,58,206,260,52,37,10,3,2,44,25,41,1,53,5,4,4,1,22,8,0.252427184,"sa3018403"
"Ryan Reckley","SFG","CPX",18,45,134,173,22,17,1,0,4,28,14,33,1,65,3,3,0,0,5,0,0.164179104,"sa3018404"
"Ricardo Cabrera","CIN","A,CPX",18,44,162,202,56,40,7,4,5,48,23,26,1,40,14,0,0,1,24,2,0.345679012,"sa3018405"
"Anthony Gutierrez","TEX","A,CPX",18,84,313,346,83,65,11,5,2,43,36,26,0,78,5,2,0,8,32,11,0.265175718,"sa3018406"
"Samuel Munoz","LAD","CPX",18,52,216,240,59,40,10,7,2,35,32,21,0,41,1,2,0,1,9,2,0.273148148,"sa3018407"
"Yordany De Los Santos","PIT","A,CPX",18,55,192,231,45,32,10,1,2,36,25,29,0,71,6,3,1,4,22,4,0.234375,"sa3018408"
"Lazaro Montes","SEA","A,CPX",18,70,241,302,73,39,19,2,13,58,61,54,1,76,6,1,0,6,2,2,0.302904564,"sa3018409"
"Javier Osorio","DET","DSL",18,33,103,117,28,15,6,2,5,24,21,11,0,40,3,0,0,1,11,2,0.27184466,"sa3018410"
"Jonathan Mejia","STL","A,CPX",18,41,132,164,21,15,1,3,2,19,10,28,0,47,2,1,0,4,8,1,0.159090909,"sa3018411"
"Simon Juan","NYM","CPX",17,40,132,147,29,22,5,0,2,9,17,12,0,39,2,1,0,1,1,2,0.219696969,"sa3018412"
"Alexis Hernandez","CHC","CPX",18,37,130,150,41,25,9,4,3,25,25,18,0,50,2,0,0,0,9,2,0.315384615,"sa3018413"
"Freili Encarnacion","BOS","CPX",18,8,33,39,6,5,1,0,0,4,1,2,0,8,4,0,0,2,2,0,0.181818181,"sa3018414"
"Jhonny Severino","PIT","CPX",18,15,58,63,15,7,2,1,5,15,12,2,0,11,2,1,0,2,7,0,0.258620689,"sa3018415"
"Braylin Tavera","BAL","CPX",18,35,107,133,28,19,5,0,4,15,20,22,0,23,2,2,0,3,13,5,0.261682242,"sa3018416"
"Johan Barrios","MIL","CPX",18,40,123,145,28,24,3,0,1,8,12,20,0,50,1,1,0,3,4,1,0.227642276,"sa3018417"
"Yendry Rojas","SDP","CPX",18,44,135,173,30,24,3,2,1,27,17,30,0,38,6,2,0,2,9,0,0.222222222,"sa3018418"
"Luis Rodriguez","STL","CPX",18,29,95,107,21,12,9,0,0,10,12,9,0,32,3,0,0,5,0,1,0.221052631,"sa3018419"
"Jose De Jesus","TEX","CPX",18,50,188,220,42,27,10,3,2,29,16,29,0,62,2,1,0,4,12,6,0.223404255,"sa3018420"
"Nelson Rada","LAA","A",17,115,439,540,121,100,13,6,2,94,48,73,1,98,16,3,9,10,55,11,0.275626423,"sa3018421"
"Anthuan Valencia","CIN","DSL",18,37,129,153,29,25,4,0,0,16,17,17,0,37,5,2,0,1,6,3,0.224806201,"sa3018422"
"Luis Meza","TOR","CPX",18,19,52,59,10,9,1,0,0,4,5,3,0,12,3,0,0,3,0,0,0.192307692,"sa3018423"
"Johanfran Garcia","BOS","A,CPX",18,57,208,247,57,36,13,2,6,29,37,24,0,61,11,4,0,4,6,1,0.274038461,"sa3018424"
"Yilber Herrera","MIN","DSL",18,42,114,149,26,12,11,2,1,25,19,30,0,31,1,4,0,0,10,6,0.228070175,"sa3018425"
"Randy De Jesus","LAA","CPX",18,48,181,202,45,34,9,0,2,32,26,15,0,50,2,2,0,3,4,2,0.248618784,"sa3018426"
"Bryan Acuna","MIN","CPX",17,40,119,147,22,19,2,0,1,8,14,25,0,39,1,2,0,0,4,4,0.184873949,"sa3018427"
"Victor Izturis","CLE","CPX",18,33,121,149,32,29,2,0,1,16,18,24,0,27,2,2,0,6,0,0,0.264462809,"sa3018428"
"Michael Arroyo","SEA","A,CPX",18,61,220,278,56,33,17,3,3,48,28,37,0,54,19,2,0,5,8,4,0.254545454,"sa3018429"
"Kenni Gomez","HOU","CPX",18,16,53,61,11,9,0,0,2,8,12,6,0,12,2,0,0,0,8,3,0.207547169,"sa3018430"
"Adan Sanchez","CHC","CPX",18,35,112,135,26,24,2,0,0,20,12,19,0,31,3,1,0,6,1,1,0.232142857,"sa3018431"
"Henry Ramos","KCR","DSL",18,52,176,196,40,24,9,4,3,28,14,16,0,49,3,1,0,5,11,2,0.227272727,"sa3018432"
"Leandro Arias","BAL","CPX",18,44,140,162,38,26,7,2,3,17,19,20,0,20,2,0,0,3,12,2,0.271428571,"sa3018433"
"Martin Gonzalez","SEA","DSL",18,41,129,160,25,18,6,0,1,17,15,25,0,57,6,0,0,1,1,0,0.193798449,"sa3018434"
"Esmith Pineda","CIN","CPX",18,48,165,197,45,28,14,2,1,30,36,25,0,41,1,6,0,7,5,2,0.272727272,"sa3018435"
"Fraymi De Leon","BOS","CPX,DSL",18,38,84,104,23,21,2,0,0,21,7,16,0,27,4,0,0,1,14,2,0.273809523,"sa3018436"
"Carlos Oviedo","NYM","CPX",18,25,63,79,12,5,4,0,3,15,12,15,0,20,1,0,0,1,0,0,0.19047619,"sa3018437"
"Edwin Sanchez","LAD","DSL",18,44,128,168,30,18,8,0,4,32,22,30,0,33,8,1,1,3,7,1,0.234375,"sa3018438"
"Victor Ortega","MIA","DSL",19,24,69,97,18,15,3,0,0,14,9,27,0,9,1,0,0,1,3,0,0.260869565,"sa3018439"
"Enzo Paulino","TBR","CPX",19,31,100,110,23,15,6,0,2,14,18,8,0,24,2,0,0,1,0,0,0.23,"sa3018440"
"David Beckles","NYY","DSL",19,35,105,144,28,18,8,0,2,26,22,32,2,28,5,2,0,4,4,2,0.266666666,"sa3018441"
