Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Jon Singleton","MIL","AAA",30,134,456,581,100,52,22,2,24,84,87,117,1,161,1,7,0,5,3,1,0.219298245,"10441"
"Carlos Perez","COL","AAA",31,117,456,522,116,56,28,1,31,75,87,54,0,100,8,4,0,8,0,0,0.254385964,"10642"
"Delino DeShields","ATL","AAA",29,109,337,426,74,61,12,0,1,61,26,76,0,116,5,4,4,4,35,11,0.219584569,"11379"
"Dixon Machado","CHC","AAA",30,121,461,522,134,101,26,1,6,60,46,53,0,64,7,1,0,15,10,3,0.290672451,"11472"
"Juniel Querecuto","CIN","AAA",29,108,398,432,102,62,27,2,11,52,34,29,0,80,2,3,0,12,10,5,0.256281407,"12140"
"Jorge Bonifacio","PHI","AAA",29,112,383,444,92,59,17,1,15,44,57,47,0,125,10,4,0,2,8,2,0.240208877,"12174"
"Cory Spangenberg","STL","AAA",31,106,382,414,90,58,17,5,10,53,42,27,0,135,3,2,0,4,14,3,0.235602094,"12294"
"Dillon Thomas","LAA","AAA",29,113,414,492,112,69,23,2,18,75,78,56,0,127,18,4,0,6,6,4,0.2705314,"12719"
"John Andreoli","MIN","AAA",32,110,337,421,62,34,11,2,15,60,43,78,0,150,1,2,3,6,19,3,0.183976261,"13012"
"Wynton Bernard","COL","AAA",31,108,429,475,143,83,31,8,21,95,92,39,0,67,2,5,0,7,30,5,0.333333333,"13408"
"Joey Meneses","WSN","AAA",30,96,374,414,107,72,14,1,20,51,64,32,2,89,2,6,0,17,1,0,0.286096256,"14366"
"Pat Valaika","ATL","AAA",29,114,421,466,102,69,23,0,10,51,54,38,0,96,1,6,0,10,2,1,0.242280285,"14885"
"Daniel Palka","NYM","AAA",30,109,395,445,104,60,18,0,26,68,79,48,1,105,1,1,0,8,0,2,0.263291139,"14897"
"Dustin Peterson","PHI","AAA",27,105,400,448,97,63,23,2,9,50,47,44,2,102,3,1,0,15,6,2,0.2425,"15189"
"Jamie Westbrook","MIL","AAA",27,123,429,511,109,76,22,0,11,58,48,54,3,80,14,4,0,7,1,2,0.254079254,"15504"
"Tyler White","MIL","AAA",31,103,357,437,82,51,13,2,16,48,58,70,0,88,4,6,0,3,5,1,0.229691876,"15564"
"Erick Mejia","SEA","AAA",27,120,464,521,121,74,29,3,15,72,58,49,0,103,1,4,3,6,19,7,0.260775862,"15817"
"Ivan Castillo","KCR","AAA",27,113,392,447,95,66,23,0,6,58,37,45,1,53,3,4,3,8,9,4,0.242346938,"15971"
"Kean Wong","LAA","AAA",27,128,497,565,130,105,18,4,3,70,53,61,1,125,2,4,1,9,41,6,0.261569416,"15994"
"Mark Payton","CHW","AAA",30,119,471,539,138,77,31,5,25,85,95,54,1,76,6,6,2,7,15,6,0.29299363,"16042"
"Pablo Reyes","MIL","AAA",28,99,385,432,105,65,27,2,11,63,59,39,0,67,6,1,1,7,15,7,0.272727272,"16357"
"Domingo Leyba","SDP","AA,AAA",26,108,404,483,103,68,23,1,11,60,64,65,3,67,4,10,0,8,12,1,0.254950495,"16404"
"Jason Martin","LAD","AAA",26,129,470,544,134,72,25,5,32,100,107,68,0,135,1,4,1,11,8,5,0.285106382,"16429"
"Forrest Wall","SEA","AAA",26,120,412,467,105,79,17,3,6,67,41,42,1,125,8,3,2,3,52,12,0.254854368,"16496"
"John Nogowski","WSN","AA,AAA",29,117,395,483,98,69,21,0,8,60,55,71,0,66,8,9,0,8,13,5,0.248101265,"16852"
"Narciso Crook","CHC","AAA",26,101,362,409,94,51,21,3,19,61,67,36,0,124,11,0,0,5,13,6,0.259668508,"17473"
"Christin Stewart","BOS","AAA",28,103,338,409,80,46,15,0,19,55,55,61,0,130,8,2,0,3,9,2,0.23668639,"17714"
"Josh Lester","DET","AAA",27,145,557,621,137,67,39,2,29,84,99,51,3,137,5,7,0,10,7,3,0.245960502,"17737"
"Jakson Reetz","MIL","AA,AAA",26,104,367,426,97,44,22,1,30,64,82,35,0,108,21,3,0,11,2,1,0.264305177,"17837"
"Andrew Stevenson","WSN","AAA",28,135,545,604,152,96,31,9,16,81,67,46,3,136,10,3,0,6,39,7,0.278899082,"17932"
"Nathan Lukes","TOR","AAA",27,111,428,484,122,85,25,1,11,62,61,47,3,89,7,2,0,15,20,3,0.285046728,"18123"
"Brett Sullivan","SDP","AAA",28,113,421,475,120,77,28,6,9,73,81,38,1,58,3,13,0,8,3,0,0.285035629,"18217"
"Austin Dean","SFG","AAA",28,115,392,438,105,66,17,5,17,68,55,38,3,94,8,0,0,9,10,2,0.267857142,"18288"
"Daz Cameron","DET","AAA",25,98,383,430,92,56,24,2,10,56,50,37,0,123,5,5,0,5,19,4,0.240208877,"18353"
"Jermaine Palacios","MIN","AAA",25,102,392,428,111,69,28,0,14,70,60,34,0,102,1,1,0,11,12,9,0.283163265,"18371"
"Brendon Davis","LAA","AAA",24,139,503,589,118,66,29,3,20,78,72,73,2,135,9,4,0,12,8,6,0.234592445,"18587"
"Estevan Florial","NYY","AAA",24,101,403,461,114,66,31,2,15,66,46,54,3,140,1,1,2,0,39,10,0.282878411,"19151"
"Taylor Kohlwey","SDP","AAA",27,128,501,587,149,102,32,4,11,87,82,68,1,91,11,6,1,8,9,3,0.297405189,"19212"
"Stone Garrett","ARI","AAA",26,103,389,440,107,53,22,4,28,73,95,33,2,105,3,6,0,6,15,2,0.275064267,"19273"
"Weston Wilson","MIL","AAA",27,118,416,462,95,63,21,0,11,63,54,39,0,131,3,4,0,8,17,4,0.228365384,"19358"
"Andruw Monasterio","MIL","AA,AAA",25,110,377,437,102,70,22,1,9,69,44,52,1,90,5,3,0,9,15,5,0.270557029,"19455"
"Alex De Goti","HOU","AAA",27,135,494,577,125,85,28,3,9,77,69,73,1,104,5,4,1,16,8,2,0.253036437,"19477"
"Zack Short","DET","AAA",27,128,459,559,105,62,31,1,11,79,60,88,2,149,5,6,1,6,11,5,0.228758169,"19562"
"Nate Mondou","OAK","AAA",27,108,385,449,109,69,30,3,7,59,64,46,1,83,13,5,0,5,1,1,0.283116883,"19563"
"Otto Lopez","TOR","A,AAA",23,96,360,413,102,74,19,6,3,53,36,43,2,65,5,3,2,10,14,5,0.283333333,"19608"
"Ben DeLuzio","STL","AAA",27,94,364,408,101,70,16,6,9,60,49,36,0,91,7,1,0,5,30,6,0.277472527,"19644"
"Jake Noll","WSN","AAA",28,103,390,423,100,61,26,3,10,48,53,20,1,77,10,3,0,9,6,0,0.256410256,"19703"
"Ronnie Dawson","CIN","AAA",27,116,393,448,99,65,23,0,11,58,43,42,1,112,11,2,0,7,11,3,0.251908396,"19710"
"Darick Hall","PHI","AAA",26,101,394,443,100,48,24,0,28,59,88,42,4,100,4,3,0,14,6,1,0.253807106,"19717"
"Rylan Bannon","BAL","AAA",26,99,342,411,85,53,18,1,13,57,77,59,0,100,7,3,0,11,10,1,0.248538011,"19768"
"Dairon Blanco","KCR","AAA",29,107,366,414,110,73,20,3,14,63,61,35,0,98,6,5,2,5,45,7,0.300546448,"19779"
"Zach Remillard","CHW","AAA",28,131,418,491,117,87,19,2,9,83,52,57,0,109,8,5,3,6,19,7,0.279904306,"19788"
"Drew Ellis","SEA","AAA",26,112,385,468,87,39,27,2,19,61,67,74,1,117,5,4,0,11,6,3,0.225974025,"19873"
"Tristan Gray","TBR","AAA",26,124,458,500,103,49,21,0,33,72,89,30,0,159,8,4,0,5,4,2,0.224890829,"19877"
"Adam Haseley","CHW","AAA",26,110,418,463,100,62,19,4,15,59,63,32,0,78,9,3,1,6,18,3,0.239234449,"19878"
"Khalil Lee","NYM","A,AAA",24,108,384,453,82,43,28,1,10,53,39,50,0,150,17,1,0,4,15,6,0.213541666,"19952"
"Blake Rutherford","CHW","AAA",25,116,439,467,119,78,26,2,13,57,58,21,1,91,5,2,0,9,8,5,0.271070615,"19957"
"Eguy Rosario","SDP","AAA",22,124,490,564,141,81,34,4,22,98,81,59,0,109,7,7,1,10,21,8,0.287755102,"19964"
"Conner Capel","OAK","AAA",25,94,353,409,93,60,20,3,10,56,42,53,0,70,3,0,0,10,21,9,0.26345609,"19983"
"Miles Mastrobuoni","TBR","AAA",26,129,507,573,152,101,32,3,16,92,64,63,0,95,1,2,0,8,23,3,0.299802761,"20017"
"Kramer Robertson","ATL","AAA",27,116,410,514,98,70,16,1,11,81,47,84,0,103,20,0,0,11,30,8,0.23902439,"20022"
"Brian Miller","MIA","AAA",26,108,408,452,119,84,19,9,7,67,45,37,0,77,1,4,2,2,26,6,0.291666666,"20047"
"Mark Contreras","MIN","AAA",27,102,376,423,89,52,21,1,15,64,59,37,1,125,8,2,0,3,23,2,0.236702127,"20122"
"Miguel Vargas","LAD","AAA",22,113,438,520,133,80,32,4,17,100,82,71,1,76,6,5,0,11,16,5,0.303652968,"20178"
"Corey Julks","HOU","AAA",26,130,523,590,141,85,21,4,31,100,89,56,3,128,10,1,0,14,22,5,0.26959847,"20311"
"Jared Young","CHC","AAA",26,109,400,455,92,52,21,2,17,61,59,40,2,110,9,4,2,6,3,2,0.23,"20404"
"Brewer Hicklen","KCR","AAA",26,130,480,559,119,57,30,4,28,85,85,58,1,202,17,3,1,7,35,2,0.247916666,"20450"
"Seth Beer","ARI","AAA",25,90,331,402,80,45,20,1,14,56,62,44,1,68,21,6,0,10,0,1,0.241691842,"20493"
"Jack Larsen","SEA","AA",27,116,450,528,121,83,24,4,10,88,57,72,1,107,3,3,0,6,8,2,0.268888888,"20510"
"CJ Alexander","KCR","AA",25,114,455,490,120,75,18,2,25,72,87,26,1,111,2,7,0,5,19,4,0.263736263,"20557"
"Logan Porter","KCR","AA,AAA",26,112,372,473,112,73,26,0,13,65,62,87,1,103,10,4,0,5,0,2,0.301075268,"20626"
"Carlos Perez","CHW","AAA",25,109,418,465,106,67,17,1,21,53,76,34,0,40,7,6,0,15,2,2,0.253588516,"20805"
"Brandon Lockridge","NYY","AA",25,108,418,464,96,63,18,1,14,67,49,36,0,125,7,3,0,6,18,4,0.229665071,"21496"
"Luken Baker","STL","AAA",25,124,464,513,106,71,14,0,21,52,66,37,0,129,5,7,0,10,0,0,0.228448275,"21497"
"Coco Montes","COL","AA,AAA",25,126,469,539,127,75,28,4,20,87,78,60,0,144,8,2,0,12,15,1,0.270788912,"21547"
"Cesar Salazar","HOU","AA,AAA",26,102,366,417,97,63,18,0,16,58,60,29,0,71,15,7,0,7,8,3,0.265027322,"21587"
"Griffin Conine","MIA","AA",24,118,414,496,89,48,15,2,24,55,74,74,2,183,4,4,0,8,1,1,0.214975845,"21626"
"Ford Proctor","TBR","AAA",25,113,384,459,88,66,10,0,12,46,42,68,1,133,3,2,2,4,3,2,0.229166666,"21634"
"Luis De Los Santos","TOR","AA,AAA",24,117,421,465,108,76,20,2,10,47,57,35,0,102,3,6,0,12,8,4,0.256532066,"21682"
"Enmanuel Valdez","HOU","AA,AAA",23,126,500,573,148,83,35,2,28,92,107,64,2,124,3,5,0,4,8,3,0.296,"21716"
"Esteury Ruiz","SDP","AA,AAA",23,114,437,541,145,94,33,2,16,114,65,66,0,94,27,2,8,5,85,14,0.33180778,"21780"
"Jonathan Aranda","TBR","AAA",24,104,403,465,128,83,26,1,18,71,85,45,0,100,10,7,0,10,4,0,0.317617866,"21837"
"Bo Naylor","CLE","AA,AAA",22,118,415,510,109,58,26,4,21,73,68,82,0,121,9,4,0,8,20,4,0.262650602,"21865"
"Jerar Encarnacion","MIA","AA,AAA",24,99,384,433,113,76,15,0,22,69,58,42,1,122,2,5,0,5,4,3,0.294270833,"21871"
"Dane Myers","DET","AA,AAA",26,121,450,488,120,72,21,2,25,64,77,24,0,133,9,3,2,9,21,5,0.266666666,"22054"
"Ryan Vilade","COL","AAA,CPX",23,102,379,441,95,69,16,4,6,67,41,53,0,72,4,4,1,9,11,7,0.25065963,"22165"
"Mark Vientos","NYM","AAA",22,101,378,427,106,65,16,1,24,66,72,44,2,122,3,2,0,15,0,2,0.28042328,"22184"
"Brice Turang","MIL","AAA",22,131,532,603,152,113,24,2,13,89,78,65,0,118,0,6,0,11,34,2,0.285714285,"22186"
"Mason McCoy","SEA","AAA",27,124,442,503,113,64,23,5,21,72,63,50,1,130,3,5,3,8,22,3,0.255656108,"22232"
"Livan Soto","LAA","AA",22,119,456,543,128,104,17,1,6,69,57,71,0,102,5,6,5,10,18,8,0.280701754,"22471"
"Heliot Ramos","SFG","AAA",22,108,427,475,97,68,17,1,11,61,45,41,1,112,7,0,0,13,6,6,0.227166276,"22515"
"Johnathan Rodriguez","CLE","A+,AA",22,107,402,434,108,55,23,4,26,58,74,27,1,135,3,2,0,8,2,1,0.268656716,"22530"
"Michael Siani","CIN","AA,AAA",22,129,492,569,124,84,19,7,14,82,55,65,0,95,7,4,1,8,52,12,0.25203252,"22557"
"Jordan Diaz","OAK","AA,AAA",21,120,491,527,160,106,34,1,19,67,83,28,0,76,5,3,0,18,0,0,0.32586558,"22650"
"Maikel Garcia","KCR","AA,AAA",22,118,487,555,139,93,34,1,11,104,61,58,1,102,1,5,4,10,39,8,0.285420944,"22715"
"Oswald Peraza","NYY","AAA",22,99,386,429,100,65,16,0,19,57,50,34,0,100,7,1,1,2,33,5,0.259067357,"22823"
"Alexander Canario","CHC","A+,AA,AAA",22,125,464,534,117,52,26,2,37,84,97,59,1,147,7,3,1,8,23,3,0.252155172,"22842"
"Wenceel Perez","DET","A+,AA",22,94,356,407,105,58,23,10,14,63,66,42,1,61,3,6,0,5,18,5,0.29494382,"22857"
"Lenyn Sosa","CHW","AA,AAA",22,119,483,536,152,105,22,2,23,77,79,39,1,83,7,7,0,14,3,4,0.314699792,"22896"
"Israel Pineda","WSN","A+,AA,AAA",22,99,360,400,93,55,20,2,16,49,71,36,0,95,1,3,0,11,3,2,0.258333333,"22906"
"Yainer Diaz","HOU","AA,AAA",23,105,445,486,136,85,22,4,25,75,96,34,0,79,3,4,0,20,2,0,0.305617977,"23003"
"Jacob Amaya","LAD","AA,AAA",23,133,476,567,124,83,20,4,17,85,71,81,0,112,4,6,0,14,6,2,0.260504201,"23296"
"Ryan Noda","LAD","AAA",26,135,464,574,120,71,23,1,25,86,90,92,2,162,15,3,0,6,20,4,0.258620689,"23312"
"Luis Vazquez","CHC","AA,AAA",22,113,409,450,92,63,18,2,9,50,43,27,0,99,4,5,5,13,9,7,0.224938875,"23442"
"Ryan Dorow","TEX","AAA",26,112,371,424,88,60,19,3,6,59,44,44,0,97,4,3,2,8,2,3,0.237196765,"23559"
"Davis Schneider","TOR","A+,AA,AAA",23,113,383,454,97,55,22,4,16,66,56,65,0,116,4,2,0,1,17,2,0.253263707,"23565"
"Brayan Rocchio","CLE","AA,AAA",21,132,510,584,131,85,27,1,18,83,64,54,0,102,10,7,3,16,14,9,0.256862745,"23690"
"Jose Tena","CLE","AA,AAA",21,132,535,573,143,96,27,6,14,81,68,29,0,142,3,5,1,3,8,5,0.267289719,"23691"
"Everson Pereira","NYY","A+,AA",21,102,401,448,111,71,17,9,14,76,56,43,1,124,3,1,0,6,21,7,0.27680798,"23695"
"Ronny Mauricio","NYM","AA",21,123,509,541,132,78,26,2,26,71,89,24,0,125,4,4,0,8,20,11,0.259332023,"23698"
"Wilyer Abreu","HOU","AA",23,129,457,579,113,65,29,0,19,106,73,114,0,153,4,4,0,5,31,3,0.24726477,"23772"
"Jordyn Adams","LAA","A+,AA",22,120,428,485,102,75,18,5,4,64,42,42,0,124,9,4,2,7,33,3,0.238317757,"23788"
"Blaze Alexander","ARI","AA,AAA,CPX",23,98,352,406,106,65,18,3,20,57,59,38,0,102,13,1,2,3,10,6,0.301136363,"23789"
"Jordan Groshans","MIA","A,AAA",22,103,372,432,98,79,16,0,3,46,34,55,0,70,2,3,0,6,3,0,0.26344086,"23794"
"Parker Meadows","DET","A+,AA",22,127,486,556,131,79,25,7,20,80,58,56,1,108,5,8,1,13,17,2,0.269547325,"23800"
"Ji Hwan Bae","PIT","AAA",22,108,419,473,121,84,23,6,8,81,53,48,1,80,2,3,1,5,30,8,0.288782816,"23818"
"Jorge Barrosa","ARI","A+,AA",21,120,474,553,132,84,33,2,13,90,57,67,1,85,5,2,5,5,26,12,0.278481012,"23968"
"Osleivis Basabe","TBR","A+,AA",21,112,444,495,144,96,39,5,4,80,47,40,0,59,6,3,2,10,21,5,0.324324324,"23985"
"Jhonkensy Noel","CLE","A+,AA,AAA",20,133,485,548,111,51,26,2,32,80,84,49,3,150,10,4,0,7,3,0,0.228865979,"24257"
"Ceddanne Rafaela","BOS","A+,AA",21,116,481,522,144,81,32,10,21,82,86,26,0,113,8,6,1,8,28,7,0.299376299,"24262"
"Liover Peguero","PIT","AA",21,121,483,521,125,88,22,5,10,65,58,29,1,111,4,2,3,7,28,6,0.258799171,"24273"
