Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Christian Bethancourt","PIT","AAA",29,92,331,363,93,60,18,1,14,46,60,28,0,73,2,2,0,13,4,1,0.280966767,"10028"
"Tomas Telis","MIN","AAA",30,101,423,453,125,99,12,2,12,51,50,26,0,58,3,1,0,6,5,1,0.295508274,"10067"
"Wilfredo Tovar","NYM","AAA",29,100,355,407,98,75,16,0,7,52,51,45,0,46,3,4,0,20,13,4,0.276056338,"10416"
"Cheslor Cuthbert","CIN","AAA",28,97,302,350,67,37,13,1,16,42,47,43,0,68,5,0,0,10,1,1,0.221854304,"10473"
"Carlos Perez","OAK","AAA",30,97,376,418,101,50,19,1,31,61,89,34,1,63,6,2,0,10,0,0,0.268617021,"10642"
"Christian Colon","TOR","AAA",32,100,357,413,92,61,16,0,15,56,60,40,0,49,10,5,1,18,4,7,0.257703081,"11145"
"Delino DeShields","TEX","AAA",28,84,309,381,78,57,13,2,6,56,22,63,0,86,4,1,4,2,21,3,0.252427184,"11379"
"Drew Maggi","MIN","AAA",32,95,318,370,80,49,13,2,16,59,50,40,0,114,11,1,0,9,12,5,0.251572327,"11381"
"Yolmer Sanchez","ATL","AAA",29,102,310,355,67,46,9,3,9,36,35,35,0,88,7,1,2,10,6,3,0.216129032,"11602"
"Juniel Querecuto","ARI","AAA",28,96,362,396,109,74,15,7,13,59,79,31,2,62,0,3,0,10,9,2,0.301104972,"12140"
"Jorge Bonifacio","PHI","AA,AAA",28,93,324,381,83,38,26,2,17,59,60,52,2,82,2,3,0,4,5,2,0.256172839,"12174"
"Jason Krizan","SFG","AAA",32,110,431,480,136,93,26,1,16,67,73,39,0,70,1,8,1,14,1,0,0.315545243,"12394"
"Dillon Thomas","SEA","AAA",28,94,335,395,90,57,19,1,13,68,47,41,1,117,18,1,0,5,12,1,0.268656716,"12719"
"Socrates Brito","NYY","AAA",28,107,375,419,94,67,16,2,9,57,53,32,0,95,6,6,0,5,23,3,0.250666666,"12944"
"Mikie Mahtook","CHW","AAA",31,106,367,410,92,47,18,1,26,60,62,31,1,102,7,4,1,8,8,2,0.250681198,"13130"
"Marco Hernandez","CHW","AAA",28,97,334,354,89,64,18,2,5,35,34,10,0,60,2,7,1,2,1,2,0.266467065,"13154"
"Wynton Bernard","COL","AAA",30,100,319,351,81,56,12,6,7,57,30,26,0,76,5,1,0,4,23,2,0.253918495,"13408"
"Elier Hernandez","TEX","AA,AAA",26,108,386,422,89,58,15,0,16,49,62,27,0,122,7,2,0,5,5,2,0.230569948,"13750"
"Matt Reynolds","CHW","AAA",30,93,309,367,83,56,20,2,5,40,35,51,1,93,3,4,0,8,5,3,0.268608414,"13788"
"Patrick Kivlehan","SDP","AAA",31,91,333,364,87,47,19,0,21,49,70,26,0,100,2,3,0,4,4,3,0.261261261,"13910"
"Greg Bird","COL","AAA",28,112,393,461,105,56,21,1,27,63,91,58,0,106,4,6,0,6,0,1,0.267175572,"14131"
"Tim Lopes","MIL","AAA",27,93,327,370,74,43,16,4,11,52,39,34,0,92,5,4,0,4,9,3,0.226299694,"14137"
"Joey Meneses","BOS","AA,AAA",29,88,334,369,95,46,31,3,15,45,70,25,1,74,3,7,0,8,0,1,0.284431137,"14366"
"Renato Nunez","DET","AAA",27,95,332,386,89,50,16,2,21,66,68,37,0,93,13,4,0,8,1,0,0.268072289,"14503"
"Daniel Palka","WSN","AAA",29,106,356,420,91,52,19,2,18,61,58,61,3,90,1,2,0,7,5,0,0.255617977,"14897"
"Jack Reinheimer","SEA","AAA",28,91,327,366,79,60,13,2,4,46,34,31,0,84,4,4,0,6,18,3,0.241590214,"14938"
"Johan Camargo","ATL","AAA",27,104,386,436,126,79,24,4,19,70,67,47,2,72,2,1,0,7,0,1,0.32642487,"14950"
"Zach Green","MIL","AAA",27,101,327,378,70,37,18,0,15,39,64,40,0,148,7,4,0,6,0,1,0.214067278,"14973"
"Ian Miller","CHC","AAA",29,106,368,413,96,75,14,4,3,38,33,37,4,75,5,3,0,1,20,1,0.260869565,"15156"
"Abiatal Avelino","CHC","AAA",26,106,380,433,101,74,18,3,6,49,48,43,0,71,6,3,1,10,16,4,0.265789473,"15496"
"Jamie Westbrook","MIL","AA,AAA",26,89,320,369,90,60,16,2,12,57,54,30,1,54,9,6,0,12,3,0,0.28125,"15504"
"Tyler White","TOR","AAA",30,105,353,443,103,64,26,0,13,54,65,80,0,73,5,5,0,8,2,2,0.291784702,"15564"
"Gosuke Katoh","SDP","AAA",26,114,350,402,107,68,27,4,8,62,42,46,0,84,2,2,2,4,8,4,0.305714285,"15697"
"Jose Marmolejos","SEA","AAA",28,83,293,353,99,55,16,2,26,66,75,54,5,69,2,4,0,6,0,0,0.337883959,"15767"
"Ivan Castillo","SDP","AAA",26,113,404,435,116,94,15,4,3,47,45,26,1,76,0,5,0,9,12,5,0.287128712,"15971"
"Yairo Munoz","BOS","AAA",26,88,351,374,108,80,16,4,8,45,36,17,0,53,2,3,1,6,18,5,0.307692307,"16313"
"Richard Urena","TOR","AAA",25,92,324,350,88,53,25,1,9,41,49,16,0,81,4,4,2,3,2,2,0.271604938,"16411"
"Ryan McBroom","KCR","AAA",29,115,433,489,113,65,14,2,32,78,88,47,1,109,5,4,0,12,3,1,0.260969976,"16524"
"Kevin Padlo","TBR","AAA",24,95,357,403,80,44,14,2,20,62,58,41,1,114,2,3,0,3,6,2,0.224089635,"16593"
"Brian O'Keefe","SEA","AA,AAA",27,105,406,456,109,70,14,1,24,58,70,48,0,131,2,0,0,6,4,2,0.268472906,"16680"
"Gavin Cecchini","LAA","AA,AAA",27,91,344,365,89,65,19,0,5,31,36,17,1,62,0,4,0,9,7,1,0.25872093,"17005"
"Jose Herrera","ARI","AA,AAA",24,94,306,360,79,54,11,3,11,45,57,51,1,81,1,2,0,8,4,1,0.258169934,"17040"
"Jose Siri","HOU","AAA",25,94,362,397,115,66,29,4,16,70,72,26,0,122,5,3,1,4,24,3,0.317679558,"17452"
"Narciso Crook","CIN","AA,AAA",25,100,295,347,72,39,19,0,14,42,54,41,0,96,10,1,0,6,8,3,0.244067796,"17473"
"Vimael Machin","OAK","AAA",27,89,336,393,99,65,17,6,11,65,58,49,3,72,5,3,0,8,2,1,0.294642857,"17684"
"Josh Lester","DET","AA,AAA",26,109,395,432,104,45,22,5,32,74,78,33,0,128,3,1,0,3,3,2,0.263291139,"17737"
"Tyler Nevin","BAL","AAA",24,111,401,453,91,57,18,0,16,45,52,42,0,91,5,5,0,13,1,1,0.226932668,"17893"
"Marcus Wilson","SEA","AAA",24,103,363,437,87,52,18,3,14,59,52,68,0,146,4,2,0,4,15,3,0.239669421,"17910"
"Jermaine Palacios","MIN","AA",24,110,410,468,106,70,17,0,19,69,54,46,0,109,7,4,1,11,18,8,0.258536585,"18371"
"Juan Yepez","STL","AA,AAA",23,111,367,434,105,49,29,0,27,67,77,51,1,82,9,4,0,5,1,3,0.286103542,"18400"
"Brendon Davis","LAA","A+,AA,AAA",23,124,483,546,140,75,29,6,30,91,83,47,0,137,10,5,0,10,16,4,0.289855072,"18587"
"Donny Sands","NYY","AA,AAA",25,94,341,380,89,55,16,0,18,47,56,32,0,57,3,4,0,10,2,1,0.260997067,"18603"
"Nick Plummer","STL","AA,AAA",24,117,386,478,108,67,20,6,15,71,54,73,0,126,17,1,0,2,13,9,0.279792746,"18690"
"Jose Azocar","SDP","AA,AAA",25,128,491,544,138,93,22,14,9,72,70,41,0,116,6,5,1,13,32,14,0.281059063,"18821"
"Curtis Terry","TEX","AAA",24,99,364,411,100,52,24,2,22,58,75,29,0,94,14,3,0,12,3,1,0.274725274,"18881"
"Leody Taveras","TEX","AAA",22,87,322,381,79,41,19,2,17,57,55,49,3,95,2,6,2,2,13,5,0.245341614,"18900"
"Estevan Florial","NYY","AA,AAA",23,87,347,401,76,39,19,1,17,70,47,46,0,121,3,2,3,4,13,8,0.219020172,"19151"
"Taylor Kohlwey","SDP","AA,AAA",26,115,409,467,127,92,23,4,8,59,69,51,0,98,1,6,0,5,11,6,0.310513447,"19212"
"Stone Garrett","ARI","AA,AAA",25,105,412,449,114,69,19,1,25,65,81,21,0,119,4,4,0,4,17,5,0.276699029,"19273"
"Armando Alvarez","NYY","AAA",26,106,360,403,85,50,25,0,10,46,52,37,0,70,0,5,0,13,2,1,0.236111111,"19292"
"Alex Call","CLE","AA,AAA",26,109,386,449,101,64,21,1,15,68,50,54,0,64,5,4,0,7,15,5,0.261658031,"19296"
"Matt Thaiss","LAA","AAA",26,101,379,449,106,62,23,4,17,71,69,60,3,92,6,4,0,8,2,1,0.279683377,"19318"
"Trenton Brooks","CLE","AA,AAA",25,102,360,421,92,53,26,1,12,56,56,51,2,85,4,4,2,6,3,0,0.255555555,"19384"
"Andruw Monasterio","CLE","AA,AAA",24,107,376,434,108,70,26,4,8,72,61,48,0,113,5,5,0,5,7,4,0.287234042,"19455"
"Cooper Hummel","MIL","AAA",26,92,293,366,91,52,21,6,12,70,52,63,1,61,4,6,0,3,4,1,0.310580204,"19458"
"Alex De Goti","HOU","AAA",26,105,383,438,89,57,22,5,5,54,41,46,0,108,5,3,1,8,7,0,0.232375979,"19477"
