Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Anielson Buten","CIN","DSL",18,46,143,166,43,28,12,1,2,27,23,16,0,33,4,1,2,2,12,3,0.3006993,"sa3021137"
"Gustavo Marquez","SDP","DSL",19,49,135,178,34,28,3,2,1,25,21,33,0,41,7,1,2,2,17,5,0.251851851,"sa3021138"
"Wilian Trinidad","TBR","DSL",18,49,179,219,45,34,7,4,0,29,24,33,0,49,3,3,1,1,21,11,0.251396648,"sa3021139"
"Sandro Pereira","HOU","DSL",18,44,130,167,43,35,7,1,0,27,18,28,1,30,6,2,1,0,8,3,0.33076923,"sa3021140"
"Carlos Virahonda","ARI","DSL",18,49,160,190,25,15,9,0,1,20,17,15,0,30,13,2,0,1,2,1,0.15625,"sa3021144"
"Juan Sierra","HOU","DSL",18,51,163,195,44,25,10,0,9,33,33,22,1,40,7,3,0,2,10,3,0.26993865,"sa3021146"
"Kevin Hacen","SDP","DSL",18,42,122,149,23,16,5,1,1,19,21,18,0,42,6,3,0,5,5,1,0.18852459,"sa3021149"
"Juan Hernandez","DET","CPX",18,48,153,176,37,28,5,1,3,26,22,17,1,41,6,0,0,3,3,1,0.241830065,"sa3021152"
"Railin Tea","TBR","DSL",17,43,138,176,27,18,6,2,1,34,17,23,0,31,12,2,1,2,19,3,0.195652173,"sa3021153"
"Abraham Nunez","CHW","CPX",18,53,178,207,52,43,4,5,0,28,18,21,0,44,6,2,0,4,20,9,0.292134831,"sa3021156"
"Yoiber Ocopio","SDP","DSL",19,49,134,181,35,22,10,3,0,27,12,33,0,35,12,2,0,5,12,0,0.261194029,"sa3021159"
"Branny De Oleo","NYM","CPX",19,42,139,155,29,22,3,2,2,16,14,11,0,35,4,1,0,1,4,4,0.208633093,"sa3021160"
"Fernando Roquez","STL","DSL",18,36,108,144,16,7,4,2,3,16,12,33,0,55,2,1,0,0,1,3,0.148148148,"sa3021163"
"Vladi Gomez","NYM","DSL",18,43,144,178,38,28,6,3,1,40,19,29,0,32,4,1,0,0,28,4,0.263888888,"sa3021165"
"Jose Mejia","BAL","DSL",18,44,150,178,45,33,9,1,2,40,19,24,0,16,4,0,0,2,28,6,0.3,"sa3021169"
"Alex Acosta","NYM","DSL",18,42,142,167,35,24,7,1,3,26,23,20,0,33,4,1,0,5,6,3,0.246478873,"sa3021176"
"Gabriel Lara","NYY","DSL",18,38,124,146,25,22,1,1,1,19,6,18,0,19,4,0,0,2,14,4,0.201612903,"sa3021177"
"Anyelo Marquez","LAA","DSL",18,53,177,229,52,41,6,3,2,31,38,39,0,31,3,5,5,0,20,11,0.29378531,"sa3021178"
"Felix Amparo","BAL","DSL",18,50,163,194,51,35,7,3,6,31,39,13,0,16,10,7,1,1,24,4,0.312883435,"sa3021180"
